tempo_exec,b*,sol,heuristic,depth
0.0002279800000906107,1.532659351147379,"[array([[3, 1, 0],
       [4, 5, 2],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 5, 0],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 0, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [0, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",one,4
0.0007182399995144806,1.532659351147379,"[array([[3, 1, 0],
       [4, 5, 2],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 5, 0],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 0, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [0, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",two,4
0.00023428999975294573,1.532659351147379,"[array([[1, 4, 2],
       [3, 5, 8],
       [6, 7, 0]]), array([[1, 4, 2],
       [3, 5, 0],
       [6, 7, 8]]), array([[1, 4, 2],
       [3, 0, 5],
       [6, 7, 8]]), array([[1, 0, 2],
       [3, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",one,4
0.0007446290001098532,1.532659351147379,"[array([[1, 4, 2],
       [3, 5, 8],
       [6, 7, 0]]), array([[1, 4, 2],
       [3, 5, 0],
       [6, 7, 8]]), array([[1, 4, 2],
       [3, 0, 5],
       [6, 7, 8]]), array([[1, 0, 2],
       [3, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",two,4
0.00030057099957048194,1.532659351147379,"[array([[1, 2, 5],
       [3, 0, 4],
       [6, 7, 8]]), array([[1, 2, 5],
       [3, 4, 0],
       [6, 7, 8]]), array([[1, 2, 0],
       [3, 4, 5],
       [6, 7, 8]]), array([[1, 0, 2],
       [3, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",one,4
0.0007285109995791572,1.532659351147379,"[array([[1, 2, 5],
       [3, 0, 4],
       [6, 7, 8]]), array([[1, 2, 5],
       [3, 4, 0],
       [6, 7, 8]]), array([[1, 2, 0],
       [3, 4, 5],
       [6, 7, 8]]), array([[1, 0, 2],
       [3, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",two,4
0.00022562100002687657,1.532659351147379,"[array([[1, 4, 2],
       [3, 7, 5],
       [6, 8, 0]]), array([[1, 4, 2],
       [3, 7, 5],
       [6, 0, 8]]), array([[1, 4, 2],
       [3, 0, 5],
       [6, 7, 8]]), array([[1, 0, 2],
       [3, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",one,4
0.0007649200006198953,1.532659351147379,"[array([[1, 4, 2],
       [3, 7, 5],
       [6, 8, 0]]), array([[1, 4, 2],
       [3, 7, 5],
       [6, 0, 8]]), array([[1, 4, 2],
       [3, 0, 5],
       [6, 7, 8]]), array([[1, 0, 2],
       [3, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",two,4
0.000264450000031502,1.6067031065338597,"[array([[3, 2, 0],
       [4, 1, 5],
       [6, 7, 8]]), array([[3, 0, 2],
       [4, 1, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 0, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [0, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",one,4
0.0007323199997699703,1.532659351147379,"[array([[3, 2, 0],
       [4, 1, 5],
       [6, 7, 8]]), array([[3, 0, 2],
       [4, 1, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [4, 0, 5],
       [6, 7, 8]]), array([[3, 1, 2],
       [0, 4, 5],
       [6, 7, 8]]), array([[0, 1, 2],
       [3, 4, 5],
       [6, 7, 8]])]",two,4
